"id","type","authors","editors","supervisors","title","alternative_title","publisher","publisher_place","publication_reference","pages","pages_start","pages_end","isbn","issn","isi_id","isi_type","other_identifiers","classification","publication_year","publication_date","abstracts","subjects","keywords","people","departments","publication_title","publication_abbreviation","series_title","volume","issue","issue_title","edition","conference_name","conference_organizer","conference_location","conference_date","conference_date_end","conference_type","defense_datetime","defense_place","article_type","misc_type","dissertation_type","publication_status","language","doi","has_full_text","open_access","sourceDb","oldId","date_created","date_updated","ugent_publication","project_code","additionalInformation","creator"
"1123142","bookEditor","","Hustinx, Lesley","","Chinese vrijwilligers? Over de driehoeksverhouding tussen vrijwilligerswerk, activering en arbeidsmarkt","","Politeia","Brussel","2010. Politeia.","230","","","9782509007575","","","","","B3","2010","","De revival van het vrijwilligerswerk is al een aantal jaren een feit. Maar recent duiken nieuwe vormen van vrijwilligerswerk op: in het bedrijfsleven, aan de overheid (OCMW’s, arbeidsmarktbeleid, gezondheidssector), in onderwijsinstellingen en andere instituten. Bovendien staan niet alle vrijwilligersorganisaties open voor alle doelgroepen. Het vrijwilligersbestand in Vlaanderen heeft er ongetwijfeld baat bij als we werk maken van de inzet van jongeren (via maatschappelijke stages), van ouderen (via een gericht beleid) en van kansengroepen (via verschillende ondersteunende maatregelen, een uitgestippeld arbeidsmarktbeleid, initiatieven vanuit OCMW’s). Creëert de driehoeksverhouding tussen vrijwilligerswerk, activering en arbeidsmarkt vrijwilligers tegen wil en dank? Of hebben Chinese vrijwilligers alleen maar te winnen bij het activeringsdiscours? In deze publicatie worden de ontwikkelingen van ‘geleid’ vrijwilligerswerk bekeken vanuit verschillende invalshoeken: maatschappelijk, historisch, wetenschappelijk. Het resultaat is een uniek boek dat focust op het vrijwilligerswerk in volle ontwikkeling.","Social Sciences","","Hustinx, Lesley (802000853939@PS04)","PS04","","","","","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-1123142","Y","ugent","","","2011-02-03 11:24:02","2011-02-28 14:29:07","UGENT","","","nrobbere"
"110933","journalArticle","Steennot, Reinhard","","","Isabel of de innovatie in de bancaire wereld.","","","","Bank Financiewez. 1999. p.405-411","405-411","405","411","","0772-778X","","","","A3","1999","","","Law and Political Science","","Steennot, Reinhard (801001239940@RE05)","RE05","BANK- EN FINANCIEWEZEN","Bank Financiewez.","","","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-110933","N","","aleph:pug01","865","2004-01-14 13:34","2009-02-24 10:20:52","UGENT","","","N/A"
"1112448","bookChapter","De Kock, Liesbet","","","Overgangsrituelen : vrijzinnig humanisme en rituelen","","Standaard Uitgeverij","Antwerpen","Overgangsrituelen : een brug tussen het andere en het gelijke. 2010. Standaard Uitgeverij. p.235-265","","235","265","9789034193988","","","","","B2","2010","","","Philosophy and Religion","","De Kock, Liesbet (002001309656@LW01)","LW01","Overgangsrituelen : een brug tussen het andere en het gelijke","","","","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-1112448","Y","ugent","","","2011-01-31 12:26:57","2011-02-09 08:44:35","UGENT","","","ldekock"
"704290","conference","De Schampheleire, Mieke ; Cornelis, Wim ; Steurbaut, Walter ; Spanoghe, Pieter","","","Wind tunnel measurements to determine the efficiency of drift control agents","","","","Proceedings of the 8th International Symposium on adjuvants for agrochemicals ISAA2007. 2007.","","","","","","","","","C3","2007","","","","","De Schampheleire, Mieke (801001754242@UGent) ; Cornelis, Wim (801000956418@LA12) ; Steurbaut, Walter (801000267314@LA03) ; Spanoghe, Pieter (801001266515@LA03)","LA03 ; LA12","Proceedings of the 8th International Symposium on adjuvants for agrochemicals ISAA2007","","","","","","","8th International Symposium on adjuvants for agrochemicals ISAA2007","","Columbus, Ohio (USA)","2007-08-06","2007-08-09","","","","","","","published","eng","http://hdl.handle.net/1854/LU-704290","N","","","","2009-06-18 14:52:40","2009-11-05 11:21:35","UGENT","","","cscholla"
"1112464","bookChapter","De Kock, Liesbet","","","Overgangsrituelen bij de Betamaribe","","Standaard Uitgeverij","Antwerpen","Overgangsrituelen : een brug tussen het andere en het gelijke. 2010. Standaard Uitgeverij. p.308-339","","308","339","9789034193988","","","","","B2","2010","","","Philosophy and Religion","","De Kock, Liesbet (002001309656@LW01)","LW01","Overgangsrituelen : een brug tussen het andere en het gelijke","","","","","","","","","","","","","","","","","","published","dut","http://hdl.handle.net/1854/LU-1112464","Y","ugent","","","2011-01-31 12:29:02","2011-02-09 08:31:22","UGENT","","","ldekock"
"1096806","misc","Stalpaert, Christel","","","To watch theatre : essays on genre and corporeality. By Rachel Fensham","","","","Theatre res. int. 2011. 36 (1) p.81-81","","81","81","","0307-8833 ","","","","V","2011","","","Arts and Architecture","spectatorship ; theatre ; tragedy ; genre","Stalpaert, Christel (801001014012@LW17)","LW17","THEATRE RESEARCH INTERNATIONAL","Theatre res. int.","","36","1","","","","","","","","","","","","bookReview","","published","eng","http://hdl.handle.net/10.1017/S0307883310000751","Y","ugent at 2012-06-01","","","2011-01-11 09:54:14","2011-01-13 13:51:39","UGENT","","","cstalpae"
"1114029","journalArticle","Labarque, Valery ; Cardon, Greet ; Van Cauwenberghe, Eveline ; Smits, Dirk","","","Actieve lessen bewegingsopvoeding zijn belangrijk voor kleuters!","","","","Tijdschr. Licham. Opvoeding. 2010. p.7-12","","7","12","","1781-5614 ","","","","A4","2010","","","Medicine and Health Sciences","","Labarque, Valery (801002113243@GE25) ; Cardon, Greet (801000968138@GE25) ; Van Cauwenberghe, Eveline (802000213638@GE25)","GE25","TIJDSCHRIFT VOOR LICHAMELIJKE OPVOEDING","Tijdschr. Licham. Opvoeding","","","","","","","","","","","","","","original","","","published","dut","http://hdl.handle.net/1854/LU-1114029","Y","ugent","","","2011-02-01 15:10:26","2011-02-08 10:38:40","UGENT","","","avolkaer"
"1048706","journalArticle","Bonte, Pieter","","","De verbeterkunde, een ongewenste bevrijding?","","Academia Press","Ghent","Ethiek & Maatschappij. 2008. Academia Press. (2) p.18-35","","18","35",""," 1373-0975","","","","A2","2008","","As the reach of medical technology continues to expand, not only the goal of healing is being reached but beyond that the enhancement of the human body and mind also becomes a reality. Examples can be found in advanced prostheses, neurofarmaceuticals, genetic technologies and other fields. The ethical value of this enhancement medicine is being debated fiercly. Often the debate takes the form of a so-called ‘bio-conservative’ stance as opposed to a ‘transhumanist’ position. Transhumanists argue for the fundamental right to ‘morphological freedom’: every individual has, in principle, the right to determine for himself the shape and functions of his own body and every intrusion on this fundamental right – the blanket prohibition on any kind of enhancement medicine being the prime example hereof – has to be accompanied by strong ethical or societal arguments. Bioconservatives often argue precisely for such a general and universal prohibition, often based on intrinsic ethical arguments concerning the goodness of human nature and the unacceptability to freely alter this nature, even if such a choice is based on the sincere personal wish of an informed and socially responsible individual. I focus on these intrinsic arguments concerning the goodness of enhancement. I analyse the bioconservative arguments to conclude that they are incoherent and sometimes even internally inconsistent. Blindness for the responsibility of non-intervention plays a key role here. Furthermore I argue that the fundamental right to morphological freedom should logically be protected in any liberal democratic ethical theory. None the less, as the biological mold of human nature becomes a field of our own cultural agency, our natural passions dissolve as a source of spontaneous motivation. Thus the reality of ever-deepening morphological freedom confronts us with a new existential shock which has not yet been brought into clear focus and which poses a profound challenge for much of modern day discourse on motivation and choice.","Philosophy and Religion","Verbeterkunde Enhancement medicine Transhumanisme Transhumanism Eugenetica Eugenics Biotechnologie Biotechnology Bio-ethiek Bioethics Vrijheid Zelfbeschikkingsrecht","Bonte, Pieter (002002311887@LW01)","LW01","Ethiek & Maatschappij","","","","2","","","","","","","","","","","original","","","published","dut","http://hdl.handle.net/1854/LU-1048706","Y","open access","","","2010-10-04 11:28:28","2011-02-10 14:20:48","NOUGENT","","","pbonte"
"732249","conference","Clementel, Enrico ; Van Elmbt, L ; Guerchaft, M ; Bol, A ; Staelens, Steven ; Vandenberghe, Stefaan","","","Impact of time-of-flight on quantitative accuracy and volume determination in non-uniform phantoms","","Society of Nuclear Medicine","","J. Nucl. Med. 2009. Society of Nuclear Medicine. 50 (2) p.299-299","","299","299","","0161-5505","","","","C3","2009","","","Technology and Engineering","","Clementel, Enrico (802000402786@TW06) ; Staelens, Steven (801001554582@TW06) ; Vandenberghe, Stefaan (801001340071@TW06)","TW06","JOURNAL OF NUCLEAR MEDICINE","J. Nucl. Med.","","50","2","2009 SNM Annual Meeting Scientific Abstracts","","SNM 56th Annual Meeting","","Toronto, Canada","2009-06-13","2009-06-17","","","","","","","published","eng","http://hdl.handle.net/1854/LU-732249","N","","","","2009-08-21 12:13:48","2009-11-05 11:22:15","UGENT","","abstract no. 1493","augurlu"
"1105564","journalArticle","Blot, Stijn ; VANDIJCK, DOMINIQUE ; Lizy, Christelle ; Annemans, Lieven ; Vogelaers, Dirk ; Mauldin, Patrick D ; Salgado, Cassandra D ; Bosso, John A","","","Estimating the length of hospitalization attributable to multidrug antibiotic resistance","","","","Antimicrob. Agents Chemother. 2010. 54 (9) p.4046-4046","","4046","4046","","0066-4804","000281005900085","Letter","","A1","2010","","","Medicine and Health Sciences","NOSOCOMIAL INFECTION ; BLOOD-STREAM INFECTION","Blot, Stijn (801001556606@GE01) ; VANDIJCK, DOMINIQUE (002000631666@UGent) ; Lizy, Christelle (000080773718@UGent) ; Annemans, Lieven (801001508005@GE12) ; Vogelaers, Dirk (801000461314@GE01)","GE12","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY","Antimicrob. Agents Chemother.","","54","9","","","","","","","","","","","letterNote","","","published","eng","http://hdl.handle.net/10.1128/AAC.00689-10","Y","ugent","","","2011-01-20 12:35:25","2011-02-02 10:17:36","UGENT","","","mghysbre"
"1114576","journalArticle","Van Braeckel, Eva ; Bourguignon, Patricia ; Koutsoukos, Marguerite ; Clement, Frédéric ; Janssens, Michel ; Carletti, Isabelle ; Collard, Alix ; Demoitié, Marie-Ange ; Voss, Gerald ; Leroux-Roels, Geert ; McNally, Lisa","","","An adjuvanted polyprotein HIV-1 vaccine induces polyfunctional cross-reactive CD4+ T cell responses in seronegative volunteers","","","","Clin. Infect. Dis. 2011. 52 (4) p.522-523","","522","523","","1058-4838","","","isi:id:to be confirmed;isi:type:to be confirmed","A1","2011","","Background. This phase I/II partially blinded, randomized, dose-ranging study assessed the safety and immunogenicity of a novel human immunodeficiency virus type 1 (HIV-1) vaccine candidate consisting of a recombinant fusion protein (F4) containing 4 HIV-1 clade B antigens (Gag p24, Pol reverse transcriptase, Nef, and Gag p17) adjuvanted with AS01 in HIV-seronegative volunteers. Methods. Two doses of the recombinant F4 protein (10, 30, or 90 μg/dose), adjuvanted with AS01 or reconstituted with water for injection, were administered 1 month apart to 180 healthy volunteers aged 18-40 years. F4-specific CD4(+) T cell responses were measured using intracellular cytokine staining after in vitro stimulation by overlapping peptide pools covering the 4 individual antigens. Results. Reactogenicity was higher during the 7-day period after each vaccine dose in the adjuvanted than in the nonadjuvanted groups. In the adjuvanted groups, the overall immune response rate was high after the second vaccine dose, with highest responder rates seen in the 10-μg F4/AS01 group (100% to 3 HIV-1 antigens and 80% to all 4 HIV-1 antigens). High and long-lasting CD4(+) T cell frequencies were observed (up to a median value of 1.2% F4-specific CD4(+) T cells at day 44), with strongest responses directed against reverse transcriptase. Antigen-specific CD4(+) T cells exhibited a polyfunctional phenotype, expressing at least CD40 ligand and interleukin 2, often in combination with tumor necrosis factor α and/or interferon γ. Vaccine-induced CD4(+) T cell responses were broadly cross-reactive to all 4 antigens derived from HIV-1 clades A and C. Conclusions. These results support further clinical investigation of this HIV-1 vaccine candidate both in a prophylactic setting (alone, in conjunction with an envelope-based antigen or in combination with other vaccine approaches in a heterologous prime-boost regimen) and as a potentially disease-modifying therapeutic vaccine in HIV-1-infected subjects.","Medicine and Health Sciences","vaccine ; HIV","Van Braeckel, Eva (802000044391@CA80) ; Clement, Frédéric (801001012493@GE06) ; Leroux-Roels, Geert (801000485057@GE06)","GE06","CLINICAL INFECTIOUS DISEASES","Clin. Infect. Dis.","","52","4","","","","","","","","","","","original","","","published","eng","http://hdl.handle.net/10.1093/cid/ciq160","Y","open access","","","2011-02-02 09:57:58","2011-02-03 13:34:13","UGENT","","","evbraeck"
"772406","conference","Mladenovski, Saso ; Reineke, Sebastian ; Neyts, Kristiaan","","","Modeling exciton decay time and radiative efficiency in organic light emitting devices","","Society for Information Display (SID)","Campbell, CA, USA","Conf. Rec. Int. Disp. Res. Conf. 2009. Society for Information Display (SID). p.43-46","","43","46","","1083-1312","000281650300007","","isi:type:Proceedings Paper","P1","2009","","The exciton decay time depends on the optical environment in which the decay takes place. In the case of an organic light-emitting device this environment is determined by the thin film layer structure. The radiative and non-radiative decay channels compete and in this way influence the radiative efficiency and the external quantum efficiency of the device. This paper shows an experimentally verified model to estimate the dependency of the exciton decay time and the radiative efficiency on the thin film stack.","Technology and Engineering","OLED ; exciton decay time","Mladenovski, Saso (802000086528@UGent) ; Neyts, Kristiaan (801000630557@TW06)","TW06","CONFERENCE RECORD OF THE INTERNATIONAL DISPLAY RESEARCH CONFERENCE","Conf. Rec. Int. Disp. Res. Conf.","","","","Eurodisplay 2009 : proceedings of the 29th International Display Research Conference","","29th International Display Research Conference (IDRC 2009 / Eurodisplay 2009)","","Rome, Italy","2009-09-14","2009-09-17","","","","","","","published","eng","http://hdl.handle.net/1854/LU-772406","Y","ugent","","","2009-11-05 11:00:47","2010-10-06 14:35:31","UGENT","","","smladeno"
"746980","journalArticle","Baert, Leon ; Hendrickx, Frederik ; Maelfait, Jean-Pierre","","","Allozyme characterization of Hogna species (Araneae, Lycosidae) of the Galapagos Archipelago","","","","J. Arachnol. 2008. 36 (2) p.411-417","","411","417","","0161-8202","000260696100024","Article","","A1","2008","","The colonization of species on remote islands may result in phenotypic diversification and ultimately speciation. On the Galapagos Archipelago. seven very closely related morpho-species of the wolf spiders genus Hogna are distinguishable based on small somatic and genital differences. Based on habitat preference, these species can broadly be categorized into (i) "high elevation species" occurring on the volcanic highlands, (ii) three "coastal dry" species occurring in dune habitats along the coast, and (iii) one generalist species which is chiefly found in wet coastal habitats such as salt marshes but also in wet habitats at higher altitudes. To determine the degree of reproductive isolation among these morpho-species. we investigated gene flow among populations and species based on nine allozyme loci. Genetic analysis by means of genetic distance estimates and cluster agglomerative analyses confirmed the status of the defined morpho-species. Allele frequencies were highly similar among populations within a species but differed profoundly among species. Genetic differentiation within the generalist species was generally very low. There were no constant differences between high elevation and coastal populations for this species. Neutral genetic divergence between species appeared to correspond more to geographic distribution rather than to a clear separation of the two different ecological groups within an island. This suggests that a parallel parapatric divergence between high elevation and coastal dry species may have taken place on the oldest islands of San Cristobal and Santa Cruz.","","TORTOISES ; ISLANDS ; FINCHES ; Wolf spiders ; ecological speciation ; HISTORY ; WEEVILS ; POPULATIONS ; speciation ; COLONIZATION ; island biogeography ; DIVERSIFICATION ; ADAPTIVE RADIATION","Hendrickx, Frederik (801001213668@WE11) ; Maelfait, Jean-Pierre (801000338648@WE11)","WE11","JOURNAL OF ARACHNOLOGY","J. Arachnol.","","36","2","","","","","","","","","","","original","","","published","eng","http://hdl.handle.net/1854/LU-746980","Y","ugent","isi:WOS","174349022","2009-09-09 09:05:46","2010-01-11 13:38:31","UGENT","","","N/A"
"692809","conference","Sierens, Roger ; Verhelst, Sebastian","Allaert, Georges ; Witlox, Frank","","Hydrogen and natural gas-hydrogen mixtures for internal combustion engines","","Universiteit Gent. Instituut voor Duurzame Mobiliteit","Gent, België","Duurzame mobiliteit Vlaanderen : de leefbare stad. 2008. Universiteit Gent. Instituut voor Duurzame Mobiliteit. p.89-118","","89","118","978-90-8756-046-1","","","","","C1","2008","","","Technology and Engineering","","Sierens, Roger (801000227807@TW03) ; Verhelst, Sebastian (801001347044@TW03) ; Allaert, Georges (801000243163@TW15) ; Witlox, Frank (801001456067@WE12)","TW03","Duurzame mobiliteit Vlaanderen : de leefbare stad","","","","","","","Duurzame mobiliteit Vlaanderen : de leefbare stad","","Gent, België","2008-12-12","2008-12-12","","","","","","","published","eng","http://hdl.handle.net/1854/LU-692809","N","","","","2009-06-12 10:57:02","2009-10-27 16:40:35","UGENT","","","aharri"
